"School","Student_Enrolled","Student_Present","Student_Present_Percent","Student_Active_Cases","Staff_Employed","Staff_Present","Staff_Present_Percent","Staff_Active_Cases","Date","Level","Student_Maximum_Active_Cases","Staff_Maximum_Active_Cases"
"Hardin Valley Elememntary School","1301","1235",94.93,"0","100","94",94,"0",2021-09-17 07:07:53,"Elementary",0,0
"Hardin Valley Middle School","970","910",93.81,"≤5","79","69",87.34,"0",2021-09-17 07:07:53,"Middle",5,0
"Holston Middle School","493","444",90.06,"≤5","80","75",93.75,"≤5",2021-09-17 07:07:53,"Middle",5,5
"Inskip Elementary School","488","443",90.78,"≤5","82","78",95.12,"0",2021-09-17 07:07:53,"Elementary",5,0
"Karns Elementary School","1180","1073",90.93,"≤15","140","129",92.14,"0",2021-09-17 07:07:53,"Elementary",15,0
"Karns High School","1433","1253",87.44,"≤15","129","118",91.47,"0",2021-09-17 07:07:53,"High",15,0
"Karns Middle School","936","845",90.28,"≤5","81","75",92.59,"0",2021-09-17 07:07:53,"Middle",5,0
"Knox Adaptive Education Center","55","46",83.64,"0","53","43",81.13,"0",2021-09-17 07:07:53,"Other",0,0
"L & N Stem Academy","580","540",93.1,"≤5","42","39",92.86,"≤5",2021-09-17 07:07:53,"High",5,5
"Lonsdale Elementary School","307","283",92.18,"≤5","74","66",89.19,"0",2021-09-17 07:07:53,"Elementary",5,0
"Maynard Elementary School","109","98",89.91,"≤15","32","27",84.38,"≤5",2021-09-17 07:07:53,"Elementary",15,5
"Mooreland Heights Elementary School","317","274",86.44,"≤5","45","39",86.67,"≤5",2021-09-17 07:07:53,"Elementary",5,5
"Mount Olive Elementary School","200","182",91,"0","30","28",93.33,"0",2021-09-17 07:07:53,"Elementary",0,0
"New Hopewell Elementary School","223","209",93.72,"≤15","35","34",97.14,"≤5",2021-09-17 07:07:53,"Elementary",15,5
"Northshore Elementary School","1081","994",91.95,"≤15","102","96",94.12,"0",2021-09-17 07:07:53,"Elementary",15,0
"Northwest Middle School","776","688",88.66,"≤5","113","106",93.81,"0",2021-09-17 07:07:53,"Middle",5,0
"Norwood Elementary School","485","439",90.52,"≤5","70","62",88.57,"≤5",2021-09-17 07:07:53,"Elementary",5,5
"Paul L. Kelley Volunteer Academy","73","59",80.82,"0","12","12",100,"0",2021-09-17 07:07:53,"High",0,0
"Pleasant Ridge Elementary School","282","243",86.17,"≤5","34","29",85.29,"≤5",2021-09-17 07:07:53,"Elementary",5,5
"Pond Gap Elementary School","360","305",84.72,"≤15","55","50",90.91,"0",2021-09-17 07:07:53,"Elementary",15,0
"Powell Elementary School","787","709",90.09,"≤5","77","73",94.81,"0",2021-09-17 07:07:53,"Elementary",5,0
"Powell High School","1347","1174",87.16,"≤15","122","112",91.8,"≤5",2021-09-17 07:07:53,"High",15,5
"Powell Middle School School","876","762",86.99,"≤15","84","78",92.86,"0",2021-09-17 07:07:53,"Middle",15,0
"Richard Yoakley Alternative","113","75",66.37,"0","35","32",91.43,"0",2021-09-17 07:07:53,"Other",0,0
"Ridgedale Alternative","66","60",90.91,"0","77","70",90.91,"≤5",2021-09-17 07:07:53,"Middle",0,5
"Ritta Elementary School","539","490",90.91,"≤5","62","58",93.55,"0",2021-09-17 07:07:53,"Elementary",5,0
"Rocky Hill Elementary School","709","662",93.37,"≤5","79","73",92.41,"0",2021-09-17 07:07:53,"Elementary",5,0
"Sam E. Hill Primary School","155","136",87.74,"≤15","40","39",97.5,"0",2021-09-17 07:07:53,"Other",15,0
"Sarah Moore Greene Magnet Academy","506","439",86.76,"≤5","93","83",89.25,"≤5",2021-09-17 07:07:53,"Elementary",5,5
"Sequoyah Elementary School","473","455",96.19,"≤5","46","44",95.65,"0",2021-09-17 07:07:53,"Elementary",5,0
"Shannondale Elementary School","389","344",88.43,"≤5","40","37",92.5,"≤5",2021-09-17 07:07:53,"Elementary",5,5
"South Knoxville Elementary School","181","162",89.5,"0","105","97",92.38,"0",2021-09-17 07:07:53,"Elementary",0,0
"South-Doyle High School","1046","880",84.13,"≤5","102","93",91.18,"≤5",2021-09-17 07:07:53,"High",5,5
"South-Doyle Middle School","807","706",87.48,"≤15","26","23",88.46,"≤5",2021-09-17 07:07:53,"Middle",15,5
"Spring Hill Elementary School","475","404",85.05,"0","69","63",91.3,"0",2021-09-17 07:07:53,"Elementary",0,0
"Sterchi Elementary School","349","308",88.25,"≤5","45","44",97.78,"0",2021-09-17 07:07:53,"Elementary",5,0
"Sunnyview Primary","229","210",91.7,"≤15","33","28",84.85,"0",2021-09-17 07:07:53,"Other",15,0
"Vine Middle Magnet","455","407",89.45,"≤5","58","53",91.38,"≤5",2021-09-17 07:07:53,"Middle",5,5
"West Haven Elementary School","326","287",88.04,"≤15","42","37",88.1,"0",2021-09-17 07:07:53,"Elementary",15,0
"West High School","1534","1415",92.24,"≤5","117","105",89.74,"0",2021-09-17 07:07:53,"High",5,0
"West Hills Elementary School","699","635",90.84,"≤15","94","81",86.17,"≤5",2021-09-17 07:07:53,"Elementary",15,5
"West Valley Middle School","1127","1043",92.55,"≤5","88","76",86.36,"0",2021-09-17 07:07:53,"Middle",5,0
"West View Elementary School","198","190",95.96,"0","34","32",94.12,"0",2021-09-17 07:07:53,"Elementary",0,0
"Whittle Springs Middle School","461","387",83.95,"≤5","57","51",89.47,"≤5",2021-09-17 07:07:53,"Middle",5,5
"A.L. Lotts Elementary School","957","875",91.43,"≤15","88","79",89.77,"0",2021-09-17 22:17:00,"Elementary",15,0
"Adrian Burnett Elementary School","501","450",89.82,"≤5","61","55",90.16,"0",2021-09-17 22:17:00,"Elementary",5,0
"Amherst Elementary School","661","602",91.07,"≤5","81","70",86.42,"0",2021-09-17 22:17:00,"Elementary",5,0
"Austin East Magnet High School","671","592",88.23,"≤5","102","93",91.18,"0",2021-09-17 22:17:00,"High",5,0
"Ball Camp Elementary School","586","526",89.76,"≤5","60","52",86.67,"0",2021-09-17 22:17:00,"Elementary",5,0
"Bearden Elementary School","340","292",85.88,"≤5","33","32",96.97,"0",2021-09-17 22:17:00,"Elementary",5,0
"Bearden High School","2067","1883",91.1,"≤15","157","144",91.72,"≤5",2021-09-17 22:17:00,"High",15,5
"Bearden Middle School","1207","1069",88.57,"≤30","115","105",91.3,"≤5",2021-09-17 22:17:00,"Middle",30,5
"Beaumont Magnet Academy","570","495",86.84,"≤15","78","66",84.62,"0",2021-09-17 22:17:00,"Elementary",15,0
"Belle Morris Elementary School","412","357",86.65,"0","62","52",83.87,"0",2021-09-17 22:17:00,"Elementary",0,0
"Blue Grass Elementary School","536","482",89.93,"≤15","52","48",92.31,"0",2021-09-17 22:17:00,"Elementary",15,0
"Bonny Kate Elementary School","344","318",92.44,"≤15","48","45",93.75,"0",2021-09-17 22:17:00,"Elementary",15,0
"Brickey-McCloud Elementary School","843","777",92.17,"≤5","109","98",89.91,"0",2021-09-17 22:17:00,"Elementary",5,0
"Career Magnet Academy At Pellissippi State","255","237",92.94,"≤5","23","21",91.3,"0",2021-09-17 22:17:00,"High",5,0
"Carter Elementary School","519","436",84.01,"≤15","57","48",84.21,"≤5",2021-09-17 22:17:00,"Elementary",15,5
"Carter High School","799","679",84.98,"≤15","79","76",96.2,"≤5",2021-09-17 22:17:00,"High",15,5
"Carter Middle School","589","513",87.1,"≤5","57","52",91.23,"≤5",2021-09-17 22:17:00,"Middle",5,5
"Cedar Bluff Elementary School","1079","947",87.77,"≤5","133","115",86.47,"≤5",2021-09-17 22:17:00,"Elementary",5,5
"Cedar Bluff Middle School","569","508",89.28,"≤5","55","47",85.45,"0",2021-09-17 22:17:00,"Middle",5,0
"Central High School","1322","1061",80.26,"≤15","129","121",93.8,"0",2021-09-17 22:17:00,"High",15,0
"Chilhowee Intermediate School","194","181",93.3,"0","26","25",96.15,"0",2021-09-17 22:17:00,"Elementary",0,0
"Christenberry Elementary School","422","379",89.81,"≤15","71","66",92.96,"0",2021-09-17 22:17:00,"Elementary",15,0
"Copper Ridge Elementary School","439","396",90.21,"≤5","61","54",88.52,"≤5",2021-09-17 22:17:00,"Elementary",5,5
"Corryton Elementary School","209","193",92.34,"0","22","20",90.91,"0",2021-09-17 22:17:00,"Elementary",0,0
"Dogwood Elementary School","475","428",90.11,"≤5","104","97",93.27,"0",2021-09-17 22:17:00,"Elementary",5,0
"East Knox County Elementary School","449","390",86.86,"≤5","55","47",85.45,"≤5",2021-09-17 22:17:00,"Elementary",5,5
"Farragut High School","2072","1903",91.84,"≤5","147","135",91.84,"≤5",2021-09-17 22:17:00,"High",5,5
"Farragut Intermediate School","1108","1044",94.22,"≤15","85","76",89.41,"0",2021-09-17 22:17:00,"Elementary",15,0
"Farragut Middle School","1413","1332",94.27,"≤5","104","94",90.38,"0",2021-09-17 22:17:00,"Middle",5,0
"Farragut Primary School","955","884",92.57,"≤15","92","85",92.39,"0",2021-09-17 22:17:00,"Elementary",15,0
"Fountain City Elementary School","377","322",85.41,"≤15","39","35",89.74,"≤5",2021-09-17 22:17:00,"Elementary",15,5
"Fulton High School","930","727",78.17,"≤15","126","119",94.44,"≤5",2021-09-17 22:17:00,"High",15,5
"Gap Creek Elementary School","74","67",90.54,"0","17","15",88.24,"0",2021-09-17 22:17:00,"Elementary",0,0
"Gibbs Elementary School","874","793",90.73,"≤5","85","79",92.94,"0",2021-09-17 22:17:00,"Elementary",5,0
"Gibbs High School","1107","820",74.07,"≤15","88","78",88.64,"≤5",2021-09-17 22:17:00,"High",15,5
"Gibbs Middle School","581","530",91.22,"≤5","49","44",89.8,"≤5",2021-09-17 22:17:00,"Middle",5,5
"Green Magnet Academy School","332","284",85.54,"≤5","60","55",91.67,"0",2021-09-17 22:17:00,"Elementary",5,0
"Gresham Middle School","786","696",88.55,"≤5","81","78",96.3,"0",2021-09-17 22:17:00,"Middle",5,0
"Halls Elementary School","675","617",91.41,"≤5","78","76",97.44,"≤5",2021-09-17 22:17:00,"Elementary",5,5
"Halls High School","1275","1131",88.71,"≤15","102","98",96.08,"0",2021-09-17 22:17:00,"High",15,0
"Halls Middle School","1065","959",90.05,"≤5","86","80",93.02,"0",2021-09-17 22:17:00,"Middle",5,0
"Hardin Valley Academy","2107","1929",91.55,"≤15","147","139",94.56,"≤5",2021-09-17 22:17:00,"High",15,5
"Hardin Valley Elememntary School","1300","1232",94.77,"≤5","100","94",94,"0",2021-09-17 22:17:00,"Elementary",5,0
"Hardin Valley Middle School","970","905",93.3,"≤5","79","69",87.34,"0",2021-09-17 22:17:00,"Middle",5,0
"Holston Middle School","493","440",89.25,"≤5","80","75",93.75,"≤5",2021-09-17 22:17:00,"Middle",5,5
"Inskip Elementary School","488","422",86.48,"≤5","82","78",95.12,"0",2021-09-17 22:17:00,"Elementary",5,0
"Karns Elementary School","1179","1050",89.06,"≤15","140","129",92.14,"0",2021-09-17 22:17:00,"Elementary",15,0
"Karns High School","1429","1235",86.42,"≤15","129","118",91.47,"≤5",2021-09-17 22:17:00,"High",15,5
"Karns Middle School","936","843",90.06,"≤5","81","75",92.59,"≤5",2021-09-17 22:17:00,"Middle",5,5
"Knox Adaptive Education Center","55","40",72.73,"0","53","43",81.13,"0",2021-09-17 22:17:00,"Other",0,0
"L & N Stem Academy","580","535",92.24,"≤5","42","39",92.86,"0",2021-09-17 22:17:00,"High",5,0
"Lonsdale Elementary School","311","287",92.28,"≤5","74","66",89.19,"0",2021-09-17 22:17:00,"Elementary",5,0
"Maynard Elementary School","109","93",85.32,"≤15","32","27",84.38,"≤5",2021-09-17 22:17:00,"Elementary",15,5
"Mooreland Heights Elementary School","317","262",82.65,"≤5","45","39",86.67,"≤5",2021-09-17 22:17:00,"Elementary",5,5
"Mount Olive Elementary School","200","181",90.5,"0","30","28",93.33,"0",2021-09-17 22:17:00,"Elementary",0,0
"New Hopewell Elementary School","223","210",94.17,"≤15","35","34",97.14,"≤5",2021-09-17 22:17:00,"Elementary",15,5
"Northshore Elementary School","1081","983",90.93,"≤15","102","96",94.12,"0",2021-09-17 22:17:00,"Elementary",15,0
"Northwest Middle School","776","683",88.02,"≤15","113","106",93.81,"0",2021-09-17 22:17:00,"Middle",15,0
"Norwood Elementary School","479","424",88.52,"≤5","70","62",88.57,"0",2021-09-17 22:17:00,"Elementary",5,0
"Paul L. Kelley Volunteer Academy","73","52",71.23,"0","12","12",100,"0",2021-09-17 22:17:00,"High",0,0
"Pleasant Ridge Elementary School","281","232",82.56,"≤5","34","29",85.29,"≤5",2021-09-17 22:17:00,"Elementary",5,5
"Pond Gap Elementary School","360","294",81.67,"≤15","55","50",90.91,"0",2021-09-17 22:17:00,"Elementary",15,0
"Powell Elementary School","785","710",90.45,"≤15","77","73",94.81,"0",2021-09-17 22:17:00,"Elementary",15,0
"Powell High School","1345","1170",86.99,"≤15","122","112",91.8,"≤5",2021-09-17 22:17:00,"High",15,5
"Powell Middle School School","876","745",85.05,"≤15","84","78",92.86,"0",2021-09-17 22:17:00,"Middle",15,0
"Richard Yoakley Alternative","115","86",74.78,"≤15","35","32",91.43,"0",2021-09-17 22:17:00,"Other",15,0
"Ridgedale Alternative","68","58",85.29,"0","77","70",90.91,"≤5",2021-09-17 22:17:00,"Middle",0,5
"Ritta Elementary School","539","482",89.42,"≤5","62","58",93.55,"0",2021-09-17 22:17:00,"Elementary",5,0
"Rocky Hill Elementary School","707","664",93.92,"≤5","79","73",92.41,"0",2021-09-17 22:17:00,"Elementary",5,0
"Sam E. Hill Primary School","155","135",87.1,"≤15","40","39",97.5,"0",2021-09-17 22:17:00,"Other",15,0
"Sarah Moore Greene Magnet Academy","504","445",88.29,"0","93","83",89.25,"≤5",2021-09-17 22:17:00,"Elementary",0,5
"Sequoyah Elementary School","471","453",96.18,"≤5","46","44",95.65,"0",2021-09-17 22:17:00,"Elementary",5,0
"Shannondale Elementary School","389","346",88.95,"≤5","40","37",92.5,"≤5",2021-09-17 22:17:00,"Elementary",5,5
"South Knoxville Elementary School","183","161",87.98,"≤15","105","97",92.38,"0",2021-09-17 22:17:00,"Elementary",15,0
"South-Doyle High School","1046","892",85.28,"≤5","102","93",91.18,"≤5",2021-09-17 22:17:00,"High",5,5
"South-Doyle Middle School","809","717",88.63,"≤15","26","23",88.46,"≤5",2021-09-17 22:17:00,"Middle",15,5
"Spring Hill Elementary School","475","404",85.05,"≤5","69","63",91.3,"0",2021-09-17 22:17:00,"Elementary",5,0
"Sterchi Elementary School","350","309",88.29,"≤5","45","44",97.78,"0",2021-09-17 22:17:00,"Elementary",5,0
"Sunnyview Primary","229","209",91.27,"≤15","33","28",84.85,"0",2021-09-17 22:17:00,"Other",15,0
"Vine Middle Magnet","454","394",86.78,"≤5","58","53",91.38,"≤5",2021-09-17 22:17:00,"Middle",5,5
"West Haven Elementary School","326","281",86.2,"≤15","42","37",88.1,"0",2021-09-17 22:17:00,"Elementary",15,0
"West High School","1536","1401",91.21,"≤5","117","105",89.74,"0",2021-09-17 22:17:00,"High",5,0
"West Hills Elementary School","699","632",90.41,"≤5","94","81",86.17,"≤5",2021-09-17 22:17:00,"Elementary",5,5
"West Valley Middle School","1127","1044",92.64,"≤5","88","76",86.36,"≤5",2021-09-17 22:17:00,"Middle",5,5
"West View Elementary School","198","186",93.94,"≤15","34","32",94.12,"0",2021-09-17 22:17:00,"Elementary",15,0
"Whittle Springs Middle School","460","374",81.3,"≤5","57","51",89.47,"≤5",2021-09-17 22:17:00,"Middle",5,5
"A.L. Lotts Elementary School","957","875",91.43,"≤15","88","79",89.77,"0",2021-09-18 22:17:00,"Elementary",15,0
"Adrian Burnett Elementary School","501","450",89.82,"≤5","61","55",90.16,"0",2021-09-18 22:17:00,"Elementary",5,0
"Amherst Elementary School","661","602",91.07,"≤5","81","70",86.42,"0",2021-09-18 22:17:00,"Elementary",5,0
"Austin East Magnet High School","671","592",88.23,"≤5","102","93",91.18,"0",2021-09-18 22:17:00,"High",5,0
"Ball Camp Elementary School","586","526",89.76,"≤5","60","52",86.67,"0",2021-09-18 22:17:00,"Elementary",5,0
"Bearden Elementary School","340","292",85.88,"≤5","33","32",96.97,"0",2021-09-18 22:17:00,"Elementary",5,0
"Bearden High School","2067","1883",91.1,"≤15","157","144",91.72,"≤5",2021-09-18 22:17:00,"High",15,5
"Bearden Middle School","1207","1069",88.57,"≤30","115","105",91.3,"≤5",2021-09-18 22:17:00,"Middle",30,5
"Beaumont Magnet Academy","570","495",86.84,"≤15","78","66",84.62,"0",2021-09-18 22:17:00,"Elementary",15,0
"Belle Morris Elementary School","412","357",86.65,"0","62","52",83.87,"0",2021-09-18 22:17:00,"Elementary",0,0
"Blue Grass Elementary School","536","482",89.93,"≤15","52","48",92.31,"0",2021-09-18 22:17:00,"Elementary",15,0
"Bonny Kate Elementary School","344","318",92.44,"≤15","48","45",93.75,"0",2021-09-18 22:17:00,"Elementary",15,0
"Brickey-McCloud Elementary School","843","777",92.17,"≤5","109","98",89.91,"0",2021-09-18 22:17:00,"Elementary",5,0
"Career Magnet Academy At Pellissippi State","255","237",92.94,"≤5","23","21",91.3,"0",2021-09-18 22:17:00,"High",5,0
"Carter Elementary School","519","436",84.01,"≤15","57","48",84.21,"≤5",2021-09-18 22:17:00,"Elementary",15,5
"Carter High School","799","679",84.98,"≤15","79","76",96.2,"≤5",2021-09-18 22:17:00,"High",15,5
"Carter Middle School","589","513",87.1,"≤5","57","52",91.23,"≤5",2021-09-18 22:17:00,"Middle",5,5
"Cedar Bluff Elementary School","1079","947",87.77,"≤5","133","115",86.47,"≤5",2021-09-18 22:17:00,"Elementary",5,5
"Cedar Bluff Middle School","569","508",89.28,"≤5","55","47",85.45,"0",2021-09-18 22:17:00,"Middle",5,0
"Central High School","1322","1061",80.26,"≤15","129","121",93.8,"0",2021-09-18 22:17:00,"High",15,0
"Chilhowee Intermediate School","194","181",93.3,"0","26","25",96.15,"0",2021-09-18 22:17:00,"Elementary",0,0
"Christenberry Elementary School","422","379",89.81,"≤15","71","66",92.96,"0",2021-09-18 22:17:00,"Elementary",15,0
"Copper Ridge Elementary School","439","396",90.21,"≤5","61","54",88.52,"≤5",2021-09-18 22:17:00,"Elementary",5,5
"Corryton Elementary School","209","193",92.34,"0","22","20",90.91,"0",2021-09-18 22:17:00,"Elementary",0,0
"Dogwood Elementary School","475","428",90.11,"≤5","104","97",93.27,"0",2021-09-18 22:17:00,"Elementary",5,0
"East Knox County Elementary School","449","390",86.86,"≤5","55","47",85.45,"≤5",2021-09-18 22:17:00,"Elementary",5,5
"Farragut High School","2072","1903",91.84,"≤5","147","135",91.84,"≤5",2021-09-18 22:17:00,"High",5,5
"Farragut Intermediate School","1108","1044",94.22,"≤15","85","76",89.41,"0",2021-09-18 22:17:00,"Elementary",15,0
"Farragut Middle School","1413","1332",94.27,"≤5","104","94",90.38,"0",2021-09-18 22:17:00,"Middle",5,0
"Farragut Primary School","955","884",92.57,"≤15","92","85",92.39,"0",2021-09-18 22:17:00,"Elementary",15,0
"Fountain City Elementary School","377","322",85.41,"≤15","39","35",89.74,"≤5",2021-09-18 22:17:00,"Elementary",15,5
"Fulton High School","930","727",78.17,"≤15","126","119",94.44,"≤5",2021-09-18 22:17:00,"High",15,5
"Gap Creek Elementary School","74","67",90.54,"0","17","15",88.24,"0",2021-09-18 22:17:00,"Elementary",0,0
"Gibbs Elementary School","874","793",90.73,"≤5","85","79",92.94,"0",2021-09-18 22:17:00,"Elementary",5,0
"Gibbs High School","1107","820",74.07,"≤15","88","78",88.64,"≤5",2021-09-18 22:17:00,"High",15,5
"Gibbs Middle School","581","530",91.22,"≤5","49","44",89.8,"≤5",2021-09-18 22:17:00,"Middle",5,5
"Green Magnet Academy School","332","284",85.54,"≤5","60","55",91.67,"0",2021-09-18 22:17:00,"Elementary",5,0
"Gresham Middle School","786","696",88.55,"≤5","81","78",96.3,"0",2021-09-18 22:17:00,"Middle",5,0
"Halls Elementary School","675","617",91.41,"≤5","78","76",97.44,"≤5",2021-09-18 22:17:00,"Elementary",5,5
"Halls High School","1275","1131",88.71,"≤15","102","98",96.08,"0",2021-09-18 22:17:00,"High",15,0
"Halls Middle School","1065","959",90.05,"≤5","86","80",93.02,"0",2021-09-18 22:17:00,"Middle",5,0
"Hardin Valley Academy","2107","1929",91.55,"≤15","147","139",94.56,"≤5",2021-09-18 22:17:00,"High",15,5
"Hardin Valley Elememntary School","1300","1232",94.77,"≤5","100","94",94,"0",2021-09-18 22:17:00,"Elementary",5,0
"Hardin Valley Middle School","970","905",93.3,"≤5","79","69",87.34,"0",2021-09-18 22:17:00,"Middle",5,0
"Holston Middle School","493","440",89.25,"≤5","80","75",93.75,"≤5",2021-09-18 22:17:00,"Middle",5,5
"Inskip Elementary School","488","422",86.48,"≤5","82","78",95.12,"0",2021-09-18 22:17:00,"Elementary",5,0
"Karns Elementary School","1179","1050",89.06,"≤15","140","129",92.14,"0",2021-09-18 22:17:00,"Elementary",15,0
"Karns High School","1429","1235",86.42,"≤15","129","118",91.47,"≤5",2021-09-18 22:17:00,"High",15,5
"Karns Middle School","936","843",90.06,"≤5","81","75",92.59,"≤5",2021-09-18 22:17:00,"Middle",5,5
"Knox Adaptive Education Center","55","40",72.73,"0","53","43",81.13,"0",2021-09-18 22:17:00,"Other",0,0
"L & N Stem Academy","580","535",92.24,"≤5","42","39",92.86,"0",2021-09-18 22:17:00,"High",5,0
"Lonsdale Elementary School","311","287",92.28,"≤5","74","66",89.19,"0",2021-09-18 22:17:00,"Elementary",5,0
"Maynard Elementary School","109","93",85.32,"≤15","32","27",84.38,"≤5",2021-09-18 22:17:00,"Elementary",15,5
"Mooreland Heights Elementary School","317","262",82.65,"≤5","45","39",86.67,"≤5",2021-09-18 22:17:00,"Elementary",5,5
"Mount Olive Elementary School","200","181",90.5,"0","30","28",93.33,"0",2021-09-18 22:17:00,"Elementary",0,0
"New Hopewell Elementary School","223","210",94.17,"≤15","35","34",97.14,"≤5",2021-09-18 22:17:00,"Elementary",15,5
"Northshore Elementary School","1081","983",90.93,"≤15","102","96",94.12,"0",2021-09-18 22:17:00,"Elementary",15,0
"Northwest Middle School","776","683",88.02,"≤15","113","106",93.81,"0",2021-09-18 22:17:00,"Middle",15,0
"Norwood Elementary School","479","424",88.52,"≤5","70","62",88.57,"0",2021-09-18 22:17:00,"Elementary",5,0
"Paul L. Kelley Volunteer Academy","73","52",71.23,"0","12","12",100,"0",2021-09-18 22:17:00,"High",0,0
"Pleasant Ridge Elementary School","281","232",82.56,"≤5","34","29",85.29,"≤5",2021-09-18 22:17:00,"Elementary",5,5
"Pond Gap Elementary School","360","294",81.67,"≤15","55","50",90.91,"0",2021-09-18 22:17:00,"Elementary",15,0
"Powell Elementary School","785","710",90.45,"≤15","77","73",94.81,"0",2021-09-18 22:17:00,"Elementary",15,0
