"        ",Employees,Students,Total
"Jan 1, 2021",20,22,42
"Jan 2, 2021",20,16,36
"Jan 3, 2021",20,16,36
"Jan 4, 2021",22,22,44
"Jan 5, 2021",25,25,50
"Jan 6, 2021",29,29,58
"Jan 7, 2021",30,33,63
"Jan 8, 2021",30,34,64
"Jan 9, 2021",28,32,60
"Jan 10, 2021",26,31,57
"Jan 11, 2021",25,31,56
"Jan 12, 2021",28,32,60
"Jan 13, 2021",26,32,58
"Jan 14, 2021",27,32,59
"Jan 15, 2021",23,28,51
"Jan 16, 2021",18,27,45
"Jan 17, 2021",16,29,45
"Jan 18, 2021",14,37,51
"Jan 19, 2021",15,46,61
"Jan 20, 2021",15,54,69
"Jan 21, 2021",17,56,73
"Jan 22, 2021",14,51,65
"Jan 23, 2021",13,49,62
"Jan 24, 2021",10,55,65
"Jan 25, 2021",15,56,71
"Jan 26, 2021",14,67,81
"Jan 27, 2021",16,70,86
"Jan 28, 2021",20,76,96
"Jan 29, 2021",19,74,93
"Jan 30, 2021",17,83,100
"Jan 31, 2021",16,87,103
"Feb 1, 2021",17,91,108
"Feb 2, 2021",16,91,107
"Feb 3, 2021",15,92,107
"Feb 4, 2021",13,90,103
"Feb 5, 2021",13,81,94
"Feb 6, 2021",13,76,89
"Feb 7, 2021",14,75,89
"Feb 8, 2021",13,72,85
"Feb 9, 2021",15,70,85
"Feb 10, 2021",16,72,88
"Feb 11, 2021",15,79,94
"Feb 12, 2021",18,65,83
"Feb 13, 2021",16,67,83
"Feb 14, 2021",15,68,83
"Feb 15, 2021",22,66,88
"Feb 16, 2021",21,58,79
"Feb 17, 2021",20,60,80
"Feb 18, 2021",19,68,87
"Feb 19, 2021",17,70,87
"Feb 20, 2021",13,64,77
"Feb 21, 2021",12,69,81
"Feb 22, 2021",10,61,71
"Feb 23, 2021",10,73,83
"Feb 24, 2021",6,81,87
"Feb 25, 2021",8,70,78
"Feb 26, 2021",9,67,76
"Feb 27, 2021",9,61,70
"Feb 28, 2021",7,52,59
"Mar 1, 2021",6,50,56
"Mar 2, 2021",7,44,51
"Mar 3, 2021",7,36,43
"Mar 4, 2021",7,33,40
"Mar 5, 2021",4,32,36
"Mar 6, 2021",3,30,33
"Mar 7, 2021",4,34,38
"Mar 8, 2021",5,32,37
"Mar 9, 2021",5,30,35
"Mar 10, 2021",5,34,39
"Mar 11, 2021",5,38,43
"Mar 12, 2021",9,37,46
"Mar 13, 2021",12,36,48
"Mar 14, 2021",10,37,47
"Mar 15, 2021",11,39,50
"Mar 16, 2021",10,38,48
"Mar 17, 2021",12,49,61
"Mar 18, 2021",11,51,62
"Mar 19, 2021",12,56,68
"Mar 20, 2021",11,54,65
"Mar 21, 2021",9,62,71
"Mar 22, 2021",10,68,78
"Mar 23, 2021",10,73,83
"Mar 24, 2021",8,87,95
"Mar 25, 2021",8,100,108
"Mar 26, 2021",8,101,109
"Mar 27, 2021",6,96,102
"Mar 28, 2021",4,93,97
"Mar 29, 2021",5,86,91
"Mar 30, 2021",2,91,93
"Mar 31, 2021",1,82,83
"Apr 1, 2021",1,88,89
"Apr 2, 2021",1,81,82
"Apr 3, 2021",2,65,67
"Apr 4, 2021",2,55,57
"Apr 5, 2021",2,45,47
"Apr 6, 2021",2,42,44
"Apr 7, 2021",1,41,42
"Apr 8, 2021",1,40,41
"Apr 9, 2021",1,36,37
"Apr 10, 2021",1,38,39
"Apr 11, 2021",1,41,42
"Apr 12, 2021",0,29,29
"Apr 13, 2021",1,34,35
"Apr 14, 2021",1,39,40
"Apr 15, 2021",1,37,38
"Apr 16, 2021",1,36,37
"Apr 17, 2021",0,37,37
"Apr 18, 2021",1,36,37
"Apr 19, 2021",2,37,39
"Apr 20, 2021",3,33,36
"Apr 21, 2021",3,31,34
"Apr 22, 2021",3,27,30
"Apr 23, 2021",3,28,31
"Apr 24, 2021",3,26,29
"Apr 25, 2021",1,21,22
"Apr 26, 2021",1,18,19
"Apr 27, 2021",1,18,19
"Apr 28, 2021",0,14,14
"Apr 29, 2021",1,15,16
"Apr 30, 2021",1,12,13
"May 1, 2021",1,11,12
"May 2, 2021",1,7,8
"May 3, 2021",2,4,6
"May 4, 2021",3,3,6
"May 5, 2021",4,3,7
"May 6, 2021",4,2,6
"May 7, 2021",4,2,6
"May 8, 2021",3,2,5
"May 9, 2021",3,1,4
"May 10, 2021",3,1,4
"May 11, 2021",3,0,3
"May 12, 2021",2,0,2
"May 13, 2021",2,0,2
"May 14, 2021",2,0,2
"May 15, 2021",2,0,2
"May 16, 2021",2,0,2
"May 17, 2021",2,1,3
"May 18, 2021",2,1,3
"May 19, 2021",1,1,2
"May 20, 2021",0,1,1
"May 21, 2021",0,3,3
"May 22, 2021",0,2,2
"May 23, 2021",0,2,2
"May 24, 2021",0,2,2
"May 25, 2021",0,0,0
"May 26, 2021",0,0,0
"May 27, 2021",0,0,0
"May 28, 2021",0,0,0
"May 29, 2021",0,0,0
"May 30, 2021",0,0,0
"May 31, 2021",0,0,0
"Jun 1, 2021",0,0,0
"Jun 2, 2021",0,0,0
"Jun 3, 2021",0,0,0
"Jun 4, 2021",0,0,0
"Jun 5, 2021",0,0,0
"Jun 6, 2021",0,0,0
"Jun 7, 2021",0,0,0
"Jun 8, 2021",0,0,0
"Jun 9, 2021",0,0,0
"Jun 10, 2021",0,0,0
"Jun 11, 2021",0,0,0
"Jun 12, 2021",0,0,0
"Jun 13, 2021",0,0,0
"Jun 14, 2021",0,1,1
"Jun 15, 2021",0,2,2
"Jun 16, 2021",0,2,2
"Jun 17, 2021",0,3,3
"Jun 18, 2021",0,3,3
"Jun 19, 2021",0,3,3
"Jun 20, 2021",0,3,3
"Jun 21, 2021",0,2,2
"Jun 22, 2021",0,3,3
"Jun 23, 2021",1,3,4
"Jun 24, 2021",1,3,4
"Jun 25, 2021",1,2,3
"Jun 26, 2021",1,1,2
"Jun 27, 2021",1,1,2
"Jun 28, 2021",0,2,2
"Jun 29, 2021",0,1,1
"Jun 30, 2021",0,1,1
"Jul 1, 2021",0,1,1
"Jul 2, 2021",0,1,1
"Jul 3, 2021",0,1,1
"Jul 4, 2021",0,1,1
"Jul 5, 2021",0,1,1
"Jul 6, 2021",0,1,1
"Jul 7, 2021",0,1,1
"Jul 8, 2021",0,1,1
"Jul 9, 2021",0,1,1
"Jul 10, 2021",0,1,1
"Jul 11, 2021",0,1,1
"Jul 12, 2021",0,1,1
"Jul 13, 2021",0,0,0
"Jul 14, 2021",1,1,2
"Jul 15, 2021",1,2,3
"Jul 16, 2021",1,3,4
"Jul 17, 2021",0,3,3
"Jul 18, 2021",0,3,3
"Jul 19, 2021",0,4,4
"Jul 20, 2021",0,5,5
"Jul 21, 2021",1,5,6
"Jul 22, 2021",1,5,6
"Jul 23, 2021",2,4,6
"Jul 24, 2021",2,5,7
"Jul 25, 2021",2,5,7
"Jul 26, 2021",3,5,8
"Jul 27, 2021",3,6,9
"Jul 28, 2021",3,6,9
"Jul 29, 2021",4,6,10
"Jul 30, 2021",4,5,9
"Jul 31, 2021",5,4,9
"Aug 1, 2021",4,4,8
"Aug 2, 2021",7,3,10
"Aug 3, 2021",5,3,8
"Aug 4, 2021",7,3,10
"Aug 5, 2021",9,4,13
"Aug 6, 2021",10,3,13
"Aug 7, 2021",13,3,16
"Aug 8, 2021",13,1,14
"Aug 9, 2021",11,4,15
"Aug 10, 2021",13,6,19
"Aug 11, 2021",11,7,18
"Aug 12, 2021",16,12,28
"Aug 13, 2021",20,19,39
"Aug 14, 2021",20,24,44
"Aug 15, 2021",19,21,40
"Aug 16, 2021",19,30,49
"Aug 17, 2021",19,40,59
"Aug 18, 2021",20,50,70
"Aug 19, 2021",22,64,86
"Aug 20, 2021",26,67,93
"Aug 21, 2021",26,72,98
"Aug 22, 2021",25,91,116
"Aug 23, 2021",29,108,137
"Aug 24, 2021",32,123,155
"Aug 25, 2021",33,145,178
"Aug 26, 2021",38,175,213
"Aug 27, 2021",37,205,242
"Aug 28, 2021",34,228,262
"Aug 29, 2021",37,228,265
"Aug 30, 2021",29,238,267
"Aug 31, 2021",26,238,264
"Sep 1, 2021",26,230,256
"Sep 2, 2021",23,223,246
"Sep 3, 2021",30,202,232
"Sep 4, 2021",28,172,200
"Sep 5, 2021",28,149,177
"Sep 6, 2021",26,149,175
"Sep 7, 2021",25,165,190
"Sep 8, 2021",31,164,195
"Sep 9, 2021",32,170,202
"Sep 10, 2021",31,167,198
"Sep 11, 2021",28,156,184
"Sep 12, 2021",25,152,177
"Sep 13, 2021",25,154,179
"Sep 14, 2021",25,149,174
"Sep 15, 2021",25,142,167
"Sep 16, 2021",23,134,157
"Sep 17, 2021",22,116,138
"Sep 18, 2021",18,94,112
"Sep 19, 2021",19,78,97
"Sep 20, 2021",15,77,92
"Sep 21, 2021",16,71,87
"Sep 22, 2021",16,70,86
"Sep 23, 2021",16,61,77
"Sep 24, 2021",15,55,70
"Sep 25, 2021",17,55,72
"Sep 26, 2021",16,58,74
"Sep 27, 2021",16,65,81
"Sep 28, 2021",14,60,74
"Sep 29, 2021",8,39,47
"Sep 30, 2021",9,38,47
"Oct 1, 2021",7,29,36
"Oct 2, 2021",7,24,31
"Oct 3, 2021",6,26,32
"Oct 4, 2021",6,27,33
"Oct 5, 2021",9,31,40
"Oct 6, 2021",8,30,38
"Oct 7, 2021",9,32,41
"Oct 8, 2021",10,31,41
"Oct 9, 2021",10,33,43
"Oct 10, 2021",10,32,42
"Oct 11, 2021",9,29,38
"Oct 12, 2021",8,27,35
"Oct 13, 2021",8,24,32
"Oct 14, 2021",7,21,28
"Oct 15, 2021",6,22,28
"Oct 16, 2021",4,15,19
"Oct 17, 2021",2,14,16
"Oct 18, 2021",2,16,18
"Oct 19, 2021",2,15,17
"Oct 20, 2021",3,20,23
"Oct 21, 2021",4,22,26
"Oct 22, 2021",3,25,28
"Oct 23, 2021",3,22,25
"Oct 24, 2021",3,24,27
"Oct 25, 2021",4,26,30
"Oct 26, 2021",5,28,33
"Oct 27, 2021",4,31,35
"Oct 28, 2021",4,31,35
"Oct 29, 2021",4,31,35
"Oct 30, 2021",3,24,27
"Oct 31, 2021",3,21,24
"Nov 1, 2021",3,25,28
"Nov 2, 2021",4,30,34
"Nov 3, 2021",2,35,37
"Nov 4, 2021",3,28,31
"Nov 5, 2021",3,27,30
"Nov 6, 2021",2,27,29
"Nov 7, 2021",2,25,27
"Nov 8, 2021",2,22,24
"Nov 9, 2021",5,22,27
"Nov 10, 2021",7,24,31
"Nov 11, 2021",6,23,29
"Nov 12, 2021",5,13,18
"Nov 13, 2021",6,13,19
"Nov 14, 2021",6,13,19
"Nov 15, 2021",7,13,20
"Nov 16, 2021",7,18,25
"Nov 17, 2021",7,20,27
"Nov 18, 2021",8,23,31
"Nov 19, 2021",12,23,35
"Nov 20, 2021",9,23,32
"Nov 21, 2021",7,24,31
"Nov 22, 2021",6,26,32
"Nov 23, 2021",7,25,32
"Nov 24, 2021",8,25,33
"Nov 25, 2021",8,22,30
"Nov 26, 2021",10,17,27
"Nov 27, 2021",9,9,18
"Nov 28, 2021",8,10,18
"Nov 29, 2021",9,12,21
"Nov 30, 2021",8,17,25
"Dec 1, 2021",7,19,26
"Dec 2, 2021",9,20,29
"Dec 3, 2021",10,19,29
"Dec 4, 2021",8,18,26
"Dec 5, 2021",6,17,23
"Dec 6, 2021",6,15,21
"Dec 7, 2021",5,17,22
"Dec 8, 2021",6,17,23
"Dec 9, 2021",7,14,21
"Dec 10, 2021",7,12,19
"Dec 11, 2021",8,10,18
"Dec 12, 2021",7,10,17
"Dec 13, 2021",8,9,17
"Dec 14, 2021",6,6,12
"Dec 15, 2021",5,5,10
"Dec 16, 2021",4,4,8
"Dec 17, 2021",5,1,6
"Dec 18, 2021",5,0,5
"Dec 19, 2021",6,0,6
"Dec 20, 2021",4,0,4
"Dec 21, 2021",5,0,5
"Dec 22, 2021",4,0,4
"Dec 23, 2021",3,1,4
"Dec 24, 2021",3,1,4
"Dec 25, 2021",2,1,3
"Dec 26, 2021",2,1,3
"Dec 27, 2021",2,1,3
"Dec 28, 2021",3,2,5
"Dec 29, 2021",3,2,5
"Dec 30, 2021",3,2,5
"Dec 31, 2021",7,2,9
"Jan 1, 2022",10,2,12
"Jan 2, 2022",15,3,18
"Jan 3, 2022",17,11,28
"Jan 4, 2022",22,18,40
"Jan 5, 2022",30,22,52
"Jan 6, 2022",32,21,53
"Jan 7, 2022",33,22,55
"Jan 8, 2022",31,18,49
"Jan 9, 2022",30,17,47
"Jan 10, 2022",27,22,49
"Jan 11, 2022",26,28,54
"Jan 12, 2022",38,32,70
"Jan 13, 2022",44,30,74
"Jan 14, 2022",56,28,84
"Jan 15, 2022",54,28,82
"Jan 16, 2022",52,20,72
"Jan 17, 2022",57,17,74
"Jan 18, 2022",52,20,72
"Jan 19, 2022",54,30,84
"Jan 20, 2022",72,35,107
"Jan 21, 2022",79,62,141
"Jan 22, 2022",67,67,134
"Jan 23, 2022",59,79,138
"Jan 24, 2022",69,94,163
"Jan 25, 2022",57,107,164